Date,Baseline Inflow,2040_Inflow,2070_Inflow,2100_Inflow
10/1/1976,68.13,337.2,187.5,158.2
10/2/1976,133.2,378.8,450.9,382.9
10/3/1976,173,355.5,705.5,594.5
10/4/1976,189.1,466.1,912.3,745.4
10/5/1976,198.3,444.7,1032,814.6
10/6/1976,205,381.9,1031,835.8
10/7/1976,207,319.3,963.9,810.1
10/8/1976,210.2,272.8,862.6,738.1
10/9/1976,333.9,250.3,959.2,660.1
10/10/1976,328.1,244.2,904.9,589.8
10/11/1976,291.2,332.9,752.7,531.7
10/12/1976,277,401.9,597.5,490
10/13/1976,282.8,655.4,469.3,460.2
10/14/1976,354.1,761.9,382.9,1613
10/15/1976,464.9,757.1,336.5,1578
10/16/1976,526,739,331,1235
10/17/1976,742.7,749.6,351.7,891.4
10/18/1976,699,759.4,371.8,721.9
10/19/1976,581.4,755.7,434.3,664.2
10/20/1976,462,729.6,416.6,588.3
10/21/1976,362,683.9,370.7,609.3
10/22/1976,283.4,621.2,318.2,541
10/23/1976,222.7,552.7,267.9,455.3
10/24/1976,178.4,480.4,222.7,375.5
10/25/1976,676.6,412.2,185,317.6
10/26/1976,788.7,373.7,283.7,331
10/27/1976,662.9,378.2,615.5,314.4
10/28/1976,477,414,652.2,348.4
10/29/1976,320.5,463.5,646.1,446.4
10/30/1976,209,505.6,632.5,931.4
10/31/1976,135.5,529.2,628.3,1307
11/1/1976,88.74,544.6,605.2,2277
11/2/1976,59.52,554.3,564,2114
11/3/1976,41.27,564.2,507.6,1738
11/4/1976,30.08,585.7,444.9,1397
11/5/1976,22.97,615,382.4,1232
11/6/1976,17.93,630.4,329.1,995.3
11/7/1976,14.21,623.4,277.7,782.9
11/8/1976,11.47,613.8,230.1,615.7
11/9/1976,9.549,829.5,188.5,489.8
11/10/1976,8.194,1946,153.5,408.6
11/11/1976,7.094,2576,124.6,343.7
11/12/1976,6.044,2506,100.8,292.1
11/13/1976,5.073,1985,81.34,250
11/14/1976,4.207,1460,65.59,215.7
11/15/1976,3.586,1047,52.88,187.4
11/16/1976,2.944,750.1,42.68,164
11/17/1976,2.397,543.5,34.55,144.7
11/18/1976,2.17,400.8,28.29,128.8
11/19/1976,1.955,301.3,23.9,115.7
11/20/1976,1.842,230.7,22.34,104.9
11/21/1976,1.659,179.3,111.6,96.11
11/22/1976,1.463,141.2,108.8,88.89
11/23/1976,1.437,112.4,83.43,82.92
11/24/1976,32.24,90.29,58.51,78.69
11/25/1976,32.13,73.16,39.71,74.97
11/26/1976,24.34,59.8,26.86,125.5
11/27/1976,16.5,49.38,18.53,151.6
11/28/1976,10.59,41.2,13.28,156
11/29/1976,6.62,34.74,10.01,207.4
11/30/1976,4.092,29.63,7.981,196
12/1/1976,2.541,25.55,6.641,169.2
12/2/1976,1.709,22.3,5.894,142.9
12/3/1976,1.189,19.72,5.426,121.1
12/4/1976,0.864,17.66,5.004,104.1
12/5/1976,0.648,16.01,4.652,90.91
12/6/1976,0.46,14.69,4.305,80.61
12/7/1976,0.319,13.62,4.002,72.45
12/8/1976,0.222,12.74,3.744,65.9
12/9/1976,0.155,12.03,3.538,60.55
12/10/1976,0.11,11.43,3.353,56.1
12/11/1976,0.079,10.93,3.192,52.39
12/12/1976,0.058,10.51,3.064,49.31
12/13/1976,0.043,10.15,3.269,46.64
12/14/1976,0.052,9.835,3.159,44.35
12/15/1976,0.095,9.583,2.979,42.36
12/16/1976,0.085,9.326,2.81,40.64
12/17/1976,0.063,9.084,2.671,39.12
12/18/1976,0.043,8.859,2.558,37.78
12/19/1976,0.028,8.651,2.466,36.62
12/20/1976,0.018,8.459,2.389,35.54
12/21/1976,0.012,8.28,2.322,34.54
12/22/1976,0.008,8.112,2.263,33.62
12/23/1976,0.005,7.953,2.209,32.76
12/24/1976,0.063,7.803,2.159,31.96
12/25/1976,0.096,7.659,2.111,31.22
12/26/1976,0.104,7.52,2.066,30.51
12/27/1976,0.099,7.386,2.023,29.84
12/28/1976,0.09,7.256,1.982,29.2
12/29/1976,0.079,7.131,1.942,28.62
12/30/1976,0.067,7.01,1.904,28.1
12/31/1976,0.057,6.892,1.867,27.82
1/1/1977,0.047,6.778,1.831,27.53
1/2/1977,0.039,6.666,1.796,27.12
1/3/1977,0.032,6.557,1.763,26.68
1/4/1977,0.834,6.451,1.732,26.13
1/5/1977,2.199,6.348,1.704,25.58
1/6/1977,1.993,6.247,1.676,25.01
1/7/1977,1.445,6.149,1.65,24.45
1/8/1977,0.948,6.165,1.621,23.92
1/9/1977,0.588,6.241,1.592,23.41
1/10/1977,0.352,6.139,1.562,22.93
1/11/1977,0.206,5.994,1.534,22.47
1/12/1977,0.118,5.852,1.506,22.04
1/13/1977,0.067,5.724,1.479,21.62
1/14/1977,0.038,5.611,1.453,21.22
1/15/1977,0.021,5.51,1.427,20.83
1/16/1977,1.65,5.417,1.403,20.46
