year,Observed, CanESM2,CMCC-CMS,inmcm4,MIROC-ESM-CHEM,CCSM4
1976,380.2,100.8,43.5,52,270.5,152
1977,162.8,314.8,0,32.5,36.2,17.6
1978,94.8,100.8,39.9,17.4,275.1,29.8
1979,41.9,40,54.7,105.7,74.9,81.2
1980,57.9,110.6,99.1,19.5,61,98.6
1981,52,113.9,21.1,89.4,40.4,112
1982,67.2,231.9,72.1,151.2,132.8,168.4
1983,86.8,0,25.3,106.6,141.5,118.1
1984,20.9,123,59,233.1,108.2,101.4
1985,12.7,118,270.9,54.2,112.3,60.7
1986,196.8,38.7,208.9,57.9,140.2,174.2
1987,239.6,53.6,115.3,16.5,91.1,167.6
1988,124.6,0,68.1,93.1,17.4,99.5
1989,64.8,17.9,360.7,0,60.3,36.2
1990,61.9,125.5,128.9,134.8,0,98.5
1991,149.8,0,0,18.6,189.2,132.7
1992,136.8,105.7,144.5,20.6,32.6,159.1
1993,96.4,0,95.7,0,19.6,279.1
1994,64.8,92.4,130.2,171.3,0,18.7
1995,70,46.1,20.7,209.1,160.2,16.5
1996,54.5,334.1,55.2,144,130.7,48.4
1997,115.8,159.3,199.6,0,142.9,37.7
1998,100.6,115.5,138.9,85,99.4,132.5
1999,93.1,34.6,77.3,120.5,186.7,88.5
2000,42,123.3,64.9,58.3,42.3,39.5
2001,0,157,71.8,44.3,191.3,123.9
2002,35.4,43.3,101.2,138.5,95,36.7
2003,94.2,40,18.7,114.6,40.6,0
2004,131.8,0,27.9,37.5,19.7,148.5
2005,163.4,100.9,143.1,42.2,21.9,19.8
